type,id,project_added
link,1061697,year 2015 add centroid connector at external stations
link,1061698,year 2015 add centroid connector at external stations
link,1061699,year 2015 add centroid connector at external stations
link,1061700,year 2015 add centroid connector at external stations
link,1061701,year 2015 add centroid connector at external stations
link,1061702,year 2015 add centroid connector at external stations
link,1061703,year 2015 add centroid connector at external stations
link,1061704,year 2015 add centroid connector at external stations
link,1061705,year 2015 add centroid connector at external stations
link,1061706,year 2015 add centroid connector at external stations
link,1061707,year 2015 add centroid connector at external stations
link,1061708,year 2015 add centroid connector at external stations
link,1061709,year 2015 add centroid connector at external stations
link,1061710,year 2015 add centroid connector at external stations
link,1061711,year 2015 add centroid connector at external stations
link,1061712,year 2015 add centroid connector at external stations
link,1061713,year 2015 add centroid connector at external stations
link,1061714,year 2015 add centroid connector at external stations
link,1061715,year 2015 add centroid connector at external stations
link,1061716,year 2015 add centroid connector at external stations
link,1061717,year 2015 add centroid connector at external stations
link,1061718,year 2015 add centroid connector at external stations
node,896902,avts_split
link,1750184,avts_split
link,1750190,avts_split
node,896903,12th_busramps
node,896904,12th_busramps
link,1750193,12th_busramps
link,1750194,12th_busramps
link,1750197,12th_busramps
link,1750199,12th_busramps
link,1750218,12th_busramps
link,1750219,12th_busramps
link,1750220,12th_busramps
link,1750221,12th_busramps
link,1750222,12th_busramps
link,1750223,12th_busramps
link,1750224,12th_busramps
link,1750225,12th_busramps
node,896901,dtmpls_4thave
link,1750226,dtmpls_4thave
link,1750227,dtmpls_4thave
node,900001,nicportland_494interchange
node,900002,nicportland_494interchange
link,1750228,nicportland_494interchange
link,1750229,nicportland_494interchange
link,1750230,nicportland_494interchange
link,1750231,nicportland_494interchange
link,1750232,nicportland_494interchange
link,1900002,nicportland_494interchange
node,900003,us169scottco59intchg
node,900004,us169scottco59intchg
node,900005,us169scottco59intchg
node,900006,us169scottco59intchg
node,900007,us169scottco59intchg
node,900008,us169scottco59intchg
link,1900001,us169scottco59intchg
link,1900003,us169scottco59intchg
link,1900004,us169scottco59intchg
link,1900005,us169scottco59intchg
link,1900006,us169scottco59intchg
link,1900007,us169scottco59intchg
link,1900008,us169scottco59intchg
link,1900009,us169scottco59intchg
link,1900010,us169scottco59intchg
link,1900011,us169scottco59intchg
link,1900012,us169scottco59intchg
link,1900013,us169scottco59intchg
link,1900014,us169scottco59intchg
link,1900015,us169scottco59intchg
link,1900016,us169scottco59intchg
link,1900017,us169scottco59intchg
link,1900018,us169scottco59intchg
link,1900019,us169scottco59intchg
link,1900020,us169scottco59intchg
link,1900021,us169scottco59intchg
node,509490,th36_lakeelmo_rev
node,516176,th36_lakeelmo_rev
node,551231,th36_lakeelmo_rev
node,579084,th36_lakeelmo_rev
link,1500007,th36_lakeelmo_rev
link,1600000,th36_lakeelmo_rev
link,1800000,th36_lakeelmo_rev
link,1500008,th36_lakeelmo_rev
link,1500009,th36_lakeelmo_rev
link,1600013,th36_lakeelmo_rev
link,1800025,th36_lakeelmo_rev
link,1567892,th36_lakeelmo_rev
link,1589999,th36_lakeelmo_rev
link,1987555,th36_lakeelmo_rev
node,900021,us10ramseysunfishintchg
node,900022,us10ramseysunfishintchg
node,900023,us10ramseysunfishintchg
link,1900022,us10ramseysunfishintchg
link,1900023,us10ramseysunfishintchg
link,1900024,us10ramseysunfishintchg
link,1900025,us10ramseysunfishintchg
link,1900026,us10ramseysunfishintchg
link,1900027,us10ramseysunfishintchg
link,1900028,us10ramseysunfishintchg
link,1900029,us10ramseysunfishintchg
link,1900030,us10ramseysunfishintchg
link,1900031,us10ramseysunfishintchg
link,1900032,us10ramseysunfishintchg
link,1900033,us10ramseysunfishintchg
link,1900034,us10ramseysunfishintchg
node,900024,us212cr51intchg2to4laneexp
node,900025,us212cr51intchg2to4laneexp
node,900026,us212cr51intchg2to4laneexp
node,900027,us212cr51intchg2to4laneexp
link,1900035,us212cr51intchg2to4laneexp
link,1900036,us212cr51intchg2to4laneexp
link,1900037,us212cr51intchg2to4laneexp
link,1900038,us212cr51intchg2to4laneexp
link,1900039,us212cr51intchg2to4laneexp
link,1900040,us212cr51intchg2to4laneexp
link,1900041,us212cr51intchg2to4laneexp
link,1900042,us212cr51intchg2to4laneexp
link,1900043,us212cr51intchg2to4laneexp
link,1900044,us212cr51intchg2to4laneexp
link,1900045,us212cr51intchg2to4laneexp
link,1900046,us212cr51intchg2to4laneexp
link,1900047,us212cr51intchg2to4laneexp
link,1900048,us212cr51intchg2to4laneexp
link,1900049,us212cr51intchg2to4laneexp
link,1900050,us212cr51intchg2to4laneexp
node,900038,mn13dakotaaveNoBuild
node,900039,mn13dakotaaveNoBuild
node,900040,mn13dakotaaveNoBuild
node,900041,mn13dakotaaveNoBuild
link,1900051,mn13dakotaaveNoBuild
link,1900052,mn13dakotaaveNoBuild
link,1900053,mn13dakotaaveNoBuild
link,1900054,mn13dakotaaveNoBuild
link,1900055,mn13dakotaaveNoBuild
link,1900056,mn13dakotaaveNoBuild
link,1900057,mn13dakotaaveNoBuild
link,1900058,mn13dakotaaveNoBuild
link,1900059,mn13dakotaaveNoBuild
link,1900060,mn13dakotaaveNoBuild
link,1900061,mn13dakotaaveNoBuild
link,1900062,mn13dakotaaveNoBuild
node,900028,mn13QuentinNicolletAveintchngsEDIT
node,900029,mn13QuentinNicolletAveintchngsEDIT
node,900030,mn13QuentinNicolletAveintchngsEDIT
node,900031,mn13QuentinNicolletAveintchngsEDIT
node,900032,mn13QuentinNicolletAveintchngsEDIT
node,900033,mn13QuentinNicolletAveintchngsEDIT
node,900034,mn13QuentinNicolletAveintchngsEDIT
node,900035,mn13QuentinNicolletAveintchngsEDIT
node,900036,mn13QuentinNicolletAveintchngsEDIT
node,900037,mn13QuentinNicolletAveintchngsEDIT
link,1900063,mn13QuentinNicolletAveintchngsEDIT
link,1900064,mn13QuentinNicolletAveintchngsEDIT
link,1900065,mn13QuentinNicolletAveintchngsEDIT
link,1900066,mn13QuentinNicolletAveintchngsEDIT
link,1900067,mn13QuentinNicolletAveintchngsEDIT
link,1900068,mn13QuentinNicolletAveintchngsEDIT
link,1900069,mn13QuentinNicolletAveintchngsEDIT
link,1900070,mn13QuentinNicolletAveintchngsEDIT
link,1900071,mn13QuentinNicolletAveintchngsEDIT
link,1900072,mn13QuentinNicolletAveintchngsEDIT
link,1900073,mn13QuentinNicolletAveintchngsEDIT
link,1900074,mn13QuentinNicolletAveintchngsEDIT
link,1900075,mn13QuentinNicolletAveintchngsEDIT
link,1900076,mn13QuentinNicolletAveintchngsEDIT
link,1900077,mn13QuentinNicolletAveintchngsEDIT
link,1900078,mn13QuentinNicolletAveintchngsEDIT
link,1900079,mn13QuentinNicolletAveintchngsEDIT
link,1900080,mn13QuentinNicolletAveintchngsEDIT
link,1900081,mn13QuentinNicolletAveintchngsEDIT
link,1900082,mn13QuentinNicolletAveintchngsEDIT
link,1900083,mn13QuentinNicolletAveintchngsEDIT
link,1900084,mn13QuentinNicolletAveintchngsEDIT
link,1900085,mn13QuentinNicolletAveintchngsEDIT
link,1900086,mn13QuentinNicolletAveintchngsEDIT
link,1900087,mn13QuentinNicolletAveintchngsEDIT
link,1900088,mn13QuentinNicolletAveintchngsEDIT
link,1900089,mn13QuentinNicolletAveintchngsEDIT
link,1900090,mn13QuentinNicolletAveintchngsEDIT
link,1900091,mn13QuentinNicolletAveintchngsEDIT
link,1900092,mn13QuentinNicolletAveintchngsEDIT
link,1900093,mn13QuentinNicolletAveintchngsEDIT
link,1900094,mn13QuentinNicolletAveintchngsEDIT
link,1900095,mn13QuentinNicolletAveintchngsEDIT
link,1900096,mn13QuentinNicolletAveintchngsEDIT
node,900042,mn252hwyconvaccessoption1
node,900043,mn252hwyconvaccessoption1
node,900044,mn252hwyconvaccessoption1
node,900045,mn252hwyconvaccessoption1
node,900046,mn252hwyconvaccessoption1
